Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
Wealth Management Trainee & Intern 暑期實習/財富顧問/財富策劃顧問/財富管理培訓生/實習生/Internship/...,AIA International Limited,2,False,Banking & Financial Services,2024-07-04 04:00:00,77019632,https://hk.jobsdb.com/job/77019632,Causeway Bay,Wan Chai,Hong Kong,0,0
Business Analyst (MNC / Up to 50K),PERSOLKELLY Hong Kong Limited,3,False,Accounting,2024-07-12 04:00:00,77210348,https://hk.jobsdb.com/job/77210348,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,36000,45000
BI Specialist / Senior Data Analyst (Five day work weeks),Excel Technology International (Hong Kong) Limited,3,False,Information & Communication Technology,2024-06-24 04:00:00,76768377,https://hk.jobsdb.com/job/76768377,,,Hong Kong,0,0
Client Solutions Manager (3174),Standard Chartered Bank,,False,Banking & Financial Services,2024-07-03 04:00:00,76981769,https://hk.jobsdb.com/job/76981769,,Kwun Tong,Kowloon,0,0
Global Sea Logistics ISC Data Engineer,Kuehne & Nagel Limited,,False,"Manufacturing, Transport & Logistics",2024-07-11 04:00:00,77180993,https://hk.jobsdb.com/job/77180993,Kowloon Bay,Kwun Tong,Kowloon,0,0
Senior Manager / Manager - Commercial Insight Analysis,AS Watson Retail (HK) Limited,8,True,Consulting & Strategy,2024-07-11 04:00:00,77182661,https://hk.jobsdb.com/job/77182661,Whampoa Garden,Kowloon City,Kowloon,0,0
Digital Marketing Executive,Strawberry Cosmetics (Services) Limited,1,False,Marketing & Communications,2024-07-06 04:00:00,77073733,https://hk.jobsdb.com/job/77073733,Kwun Tong,Kwun Tong,Kowloon,0,0
Market Analyst,HKT Enterprise Solutions,3,False,Marketing & Communications,2024-06-27 04:00:00,76832740,https://hk.jobsdb.com/job/76832740,Quarry Bay,Eastern,Hong Kong,0,0
Business Analyst,Flexsystem Ltd,1,True,Information & Communication Technology,2024-07-11 04:00:00,77181574,https://hk.jobsdb.com/job/77181574,Kwai Hing,Kwai Tsing,New Territories,0,0
"Analyst, OTC – Fixed Income, Business Operations",BOC International Holdings Ltd,1,False,Banking & Financial Services,2024-07-13 04:00:00,77236390,https://hk.jobsdb.com/job/77236390,Sheung Wan,Central and Western,Hong Kong,0,0
Supply Chain Management Planning Officer – System Solution  (Japanese speaking),Konica Minolta Business Technologies Mfg (HK) Ltd,2,False,"Manufacturing, Transport & Logistics",2024-07-04 04:00:00,77001006,https://hk.jobsdb.com/job/77001006,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Azure Cloud and Data Engineer - Leading Insurance Group,Pinpoint Asia,,True,Information & Communication Technology,2024-07-10 04:00:00,77141734,https://hk.jobsdb.com/job/77141734,Admiralty,Central and Western,Hong Kong,50000,70000
Research Department-Intern (Project Based),TFI Securities Limited,,False,Administration & Office Support,2024-07-16 04:00:00,77291702,https://hk.jobsdb.com/job/77291702,,Hong Kong Island,Hong Kong,0,0
Data Analytics Business Analyst - Wealth Management,Pinpoint Asia,,False,Information & Communication Technology,2024-06-25 04:00:00,76779121,https://hk.jobsdb.com/job/76779121,Admiralty,Central and Western,Hong Kong,70000,90000
Manager (Sales Coordination),Henderson (China) Investment Co Ltd,5,False,Sales,2024-07-13 04:00:00,77252708,https://hk.jobsdb.com/job/77252708,,Eastern,Hong Kong,0,0
"Supervisor, Trade Marketing, P&G",DKSH Hong Kong Limited,4,False,Marketing & Communications,2024-07-11 04:00:00,77165832,https://hk.jobsdb.com/job/77165832,Aberdeen,Southern,Hong Kong,0,0
AIA Financial Consultant/Graduate/ Internship program (IANG/ Fresh Grad),Flamebridge Consultant Company,3,True,Banking & Financial Services,2024-07-05 04:00:00,77036737,https://hk.jobsdb.com/job/77036737,Causeway Bay,Wan Chai,Hong Kong,50000,75000
Regional Data Visualisation Specialist,Morgan Half International (Hong Kong) Limited,,False,Information & Communication Technology,2024-06-28 04:00:00,76887290,https://hk.jobsdb.com/job/76887290,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,35000,40000
"Assistant Manager, Fraud Risk Operations (4712)",Standard Chartered Bank,,True,Banking & Financial Services,2024-07-04 04:00:00,77014973,https://hk.jobsdb.com/job/77014973,,Kwun Tong,Kowloon,0,0
Revenue Assurance Analyst - MNC,Michael Page International (HK) Ltd,5,False,Accounting,2024-07-12 04:00:00,77218653,https://hk.jobsdb.com/job/77218653,,Central and Western,Hong Kong,30000,40000
