Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
Business Analyst - Leading Securities Firm - 4 to 6 months bonus,Be Myjob Company Limited,,False,Information & Communication Technology,2024-07-17 06:00:00,77323450,https://hk.jobsdb.com/job/77323450,,Hong Kong Island,Hong Kong,0,0
System / Business Analyst,Cargo Services Far East Ltd,5,False,Information & Communication Technology,2024-07-10 06:00:00,77138345,https://hk.jobsdb.com/job/77138345,Kwai Chung,Kwai Tsing,New Territories,0,0
Junior Business Analyst - Insurance MNC - Agile,TEKsystems,1,False,Information & Communication Technology,2024-07-17 06:00:00,77307719,https://hk.jobsdb.com/job/77307719,,Central and Western,Hong Kong,0,0
Business Analyst/ Project Manager- Investment- 50-60k,Ambition,6,False,Information & Communication Technology,2024-07-17 06:00:00,77316875,https://hk.jobsdb.com/job/77316875,,Central and Western,Hong Kong,0,0
Business Analyst (Finacial Services),Be Myjob Company Limited,5,False,Information & Communication Technology,2024-07-16 06:00:00,77276623,https://hk.jobsdb.com/job/77276623,,Central and Western,Hong Kong,0,0
Senior Business Analyst (Digital / Mobile Projects),Cherrypicks Limited,3,True,Information & Communication Technology,2024-07-17 06:00:00,77305288,https://hk.jobsdb.com/job/77305288,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
(Senior) Business Analyst or Consultant - SAP ERP Finance,Acton Consulting Limited,7,False,Information & Communication Technology,2024-07-17 19:00:00,77353649,https://hk.jobsdb.com/job/77353649,,,Hong Kong,0,0
System / Business Analyst,Cargo Services Far East Ltd,5,False,Information & Communication Technology,2024-07-16 06:00:00,77286415,https://hk.jobsdb.com/job/77286415,Kwai Chung,Kwai Tsing,New Territories,0,0
Business Analyst/Revenue Analyst - MNC,Michael Page International (HK) Ltd,5,False,Accounting,2024-07-17 06:00:00,77321128,https://hk.jobsdb.com/job/77321128,,Central and Western,Hong Kong,30000,40000
"Business Analyst, Business Planning & Strategy (Leading Logistic/ Supply Chain)",Nesta (Hong Kong) Limited,2,False,"Manufacturing, Transport & Logistics",2024-07-17 06:00:00,77318800,https://hk.jobsdb.com/job/77318800,Mong Kok,Yau Tsim Mong,Kowloon,30000,32000
Business Analyst - Large Scale Conglomerate - Work Life Balance,TEKsystems,1,False,Information & Communication Technology,2024-07-15 06:00:00,77268893,https://hk.jobsdb.com/job/77268893,Tai Koo,Eastern,Hong Kong,18000,25000
