Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posted Date,Job ID,URL
Project Manager (IT Software Development),APJ Software (Hong Kong) Company Limited,,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$45,000 - $54,999 per month",2024-07-12 22:00:00,77234833,https://hk.jobsdb.com/job/77234833
Business Analyst - Front office/ Middle office (project base),Robert Walters (HK) Ltd,2,True,Central and Western District,Information & Communication Technology,,2024-07-10 22:00:00,77159993,https://hk.jobsdb.com/job/77159993
Project Manager infra (VDI exp a must) at Optimum Solutions (Hong Kong) Limited,Jobsdb - SmartHire,5,,"Central, Central and Western District",Information & Communication Technology,,2024-07-16 22:00:00,76946288,https://hk.jobsdb.com/job/76946288
"Junior Analyst, Financial Planning & Analysis",SmarTone Telecommunications Limited,,True,"Ngau Tau Kok, Kwun Tong District",Accounting,,2024-07-17 19:00:00,77353544,https://hk.jobsdb.com/job/77353544
Senior / Credit Analyst (Corporate Banking),Industrial and Commercial Bank of China (Asia) Limited,3,,"Central, Central and Western District",Banking & Financial Services,,2024-07-16 22:00:00,77319349,https://hk.jobsdb.com/job/77319349
Assistant Business Analyst (Ref: SSO/IT/ABA/JDB),Haven of Hope Christian Service,1,,"Tseung Kwan O, Sai Kung District",Information & Communication Technology,,2024-07-12 22:00:00,77234791,https://hk.jobsdb.com/job/77234791
Systems Analyst,Gammon Construction Ltd,5,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-17 11:00:00,77336343,https://hk.jobsdb.com/job/77336343
Algo Trading Project: Business Analysts - Major Bank,IT Solutions Ltd.,,True,"Central, Central and Western District",Information & Communication Technology,,2024-07-13 22:00:00,77262511,https://hk.jobsdb.com/job/77262511
Project Manager,ACG (Able Communications Group),,,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-09 22:00:00,77152936,https://hk.jobsdb.com/job/77152936
Application Architect (SAP CRM & Services),ASMPT Technology Hong Kong Limited,2,True,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-07-12 22:00:00,77250487,https://hk.jobsdb.com/job/77250487
Associate/ Senior Associate  (Project Management),Jobsdb - SmartHire,1,True,"Central, Central and Western District",Sales,,2024-07-16 22:00:00,77045901,https://hk.jobsdb.com/job/77045901
"AVP, Business Performance Management",HKT Enterprise Solutions,8,,"Quarry Bay, Eastern District",Accounting,,2024-07-09 22:00:00,77152788,https://hk.jobsdb.com/job/77152788
Credit Analyst - Regional Corporate Bank,Morgan Mckinley Limited,5,,Central and Western District,Banking & Financial Services,$45k - $50k p.m.,2024-07-16 22:00:00,77310790,https://hk.jobsdb.com/job/77310790
IT Business Analyst – Agency Contractor,Chiyu Banking Corp Ltd,3,,"Central, Central and Western District",Information & Communication Technology,,2024-07-12 22:00:00,77252996,https://hk.jobsdb.com/job/77252996
Credit Analyst,ECG Digital Commerce Limited,2,,Hong Kong,Accounting,,2024-07-15 22:00:00,77285900,https://hk.jobsdb.com/job/77285900
Data Management Specialist,Global Sources,2,,Southern District,Information & Communication Technology,,2024-07-12 22:00:00,77243702,https://hk.jobsdb.com/job/77243702
"Supervisor, Solution Analyst",Hong Kong Airlines Limited,3,,"Airport Area, Islands District",Information & Communication Technology,,2024-07-16 22:00:00,77306751,https://hk.jobsdb.com/job/77306751
Technology – ERP/ CRM Business Analyst,Accenture Technology Solutions (HK) Ltd,2,,Kowloon,Information & Communication Technology,,2024-07-02 22:00:00,76970235,https://hk.jobsdb.com/job/76970235
"Senior Specialist, Business Development (Group Business)",Sun Life Hong Kong Ltd,,,"Hung Hom, Kowloon City District",Sales,,2024-07-15 22:00:00,77276268,https://hk.jobsdb.com/job/77276268
"Solution & Data Analyst, Service Transformation",Otis Elevator Co (HK) Limited,,,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-16 22:00:00,77310438,https://hk.jobsdb.com/job/77310438
BUSINESS ANALYST (2 year contract),Cathay Pacific Airways Ltd,3,,"Tung Chung, Islands District",Accounting,,2024-07-11 22:00:00,77200023,https://hk.jobsdb.com/job/77200023
