Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Wealth Management Trainee & Intern 暑期實習/財富顧問/財富策劃顧問/財富管理培訓生/實習生/Internship/...,AIA International Limited,2,False,"Causeway Bay, Wan Chai District",Banking & Financial Services,,2024-07-04 04:00:00,77019632,https://hk.jobsdb.com/job/77019632
Business Analyst (MNC / Up to 50K),PERSOLKELLY Hong Kong Limited,3,False,"Tsim Sha Tsui, Yau Tsim Mong District",Accounting,"$36,000 - $45,000 per month",2024-07-12 04:00:00,77210348,https://hk.jobsdb.com/job/77210348
BI Specialist / Senior Data Analyst (Five day work weeks),Excel Technology International (Hong Kong) Limited,3,False,Hong Kong,Information & Communication Technology,,2024-06-24 04:00:00,76768377,https://hk.jobsdb.com/job/76768377
Client Solutions Manager (3174),Standard Chartered Bank,,False,Kwun Tong District,Banking & Financial Services,,2024-07-03 04:00:00,76981769,https://hk.jobsdb.com/job/76981769
Global Sea Logistics ISC Data Engineer,Kuehne & Nagel Limited,,False,"Kowloon Bay, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-07-11 04:00:00,77180993,https://hk.jobsdb.com/job/77180993
Senior Manager / Manager - Commercial Insight Analysis,AS Watson Retail (HK) Limited,8,True,"Whampoa Garden, Kowloon City District",Consulting & Strategy,,2024-07-11 04:00:00,77182661,https://hk.jobsdb.com/job/77182661
Digital Marketing Executive,Strawberry Cosmetics (Services) Limited,1,False,"Kwun Tong, Kwun Tong District",Marketing & Communications,,2024-07-06 04:00:00,77073733,https://hk.jobsdb.com/job/77073733
Market Analyst,HKT Enterprise Solutions,3,False,"Quarry Bay, Eastern District",Marketing & Communications,,2024-06-27 04:00:00,76832740,https://hk.jobsdb.com/job/76832740
Business Analyst,Flexsystem Ltd,1,True,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-11 04:00:00,77181574,https://hk.jobsdb.com/job/77181574
"Analyst, OTC – Fixed Income, Business Operations",BOC International Holdings Ltd,1,False,"Sheung Wan, Central and Western District",Banking & Financial Services,,2024-07-13 04:00:00,77236390,https://hk.jobsdb.com/job/77236390
Supply Chain Management Planning Officer – System Solution  (Japanese speaking),Konica Minolta Business Technologies Mfg (HK) Ltd,2,False,"Ngau Tau Kok, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-07-04 04:00:00,77001006,https://hk.jobsdb.com/job/77001006
Azure Cloud and Data Engineer - Leading Insurance Group,Pinpoint Asia,,True,"Admiralty, Central and Western District",Information & Communication Technology,"$50,000 - $70,000 per month",2024-07-10 04:00:00,77141734,https://hk.jobsdb.com/job/77141734
Research Department-Intern (Project Based),TFI Securities Limited,,False,Hong Kong Island,Administration & Office Support,,2024-07-16 04:00:00,77291702,https://hk.jobsdb.com/job/77291702
Data Analytics Business Analyst - Wealth Management,Pinpoint Asia,,False,"Admiralty, Central and Western District",Information & Communication Technology,"$70,000 - $90,000 per month",2024-06-25 04:00:00,76779121,https://hk.jobsdb.com/job/76779121
Manager (Sales Coordination),Henderson (China) Investment Co Ltd,5,False,Eastern District,Sales,,2024-07-13 04:00:00,77252708,https://hk.jobsdb.com/job/77252708
"Supervisor, Trade Marketing, P&G",DKSH Hong Kong Limited,4,False,"Aberdeen, Southern District",Marketing & Communications,,2024-07-11 04:00:00,77165832,https://hk.jobsdb.com/job/77165832
AIA Financial Consultant/Graduate/ Internship program (IANG/ Fresh Grad),Flamebridge Consultant Company,3,True,"Causeway Bay, Wan Chai District",Banking & Financial Services,"$50,000 - $75,000 per month",2024-07-05 04:00:00,77036737,https://hk.jobsdb.com/job/77036737
Regional Data Visualisation Specialist,Morgan Half International (Hong Kong) Limited,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$35,000 - $40,000 per month",2024-06-28 04:00:00,76887290,https://hk.jobsdb.com/job/76887290
"Assistant Manager, Fraud Risk Operations (4712)",Standard Chartered Bank,,True,Kwun Tong District,Banking & Financial Services,,2024-07-04 04:00:00,77014973,https://hk.jobsdb.com/job/77014973
Revenue Assurance Analyst - MNC,Michael Page International (HK) Ltd,5,False,Central and Western District,Accounting,$30k - $40k p.m.,2024-07-12 04:00:00,77218653,https://hk.jobsdb.com/job/77218653
Assistant Manager / Analyst (Non-life Business),Insurance Authority,3,False,"Aberdeen, Southern District",Accounting,,2024-07-03 04:00:00,76987029,https://hk.jobsdb.com/job/76987029
Senior / Research Executive - Qualitative (Grad Job),IPSOS,,True,"Hung Hom, Kowloon City District",Marketing & Communications,,2024-07-17 04:00:00,75995874,https://hk.jobsdb.com/job/75995874
Researcher of Bioinformatics,生命密碼有限公司,,False,"Kowloon Bay, Kwun Tong District",Science & Technology,,2024-07-13 04:00:00,77241225,https://hk.jobsdb.com/job/77241225
Senior Marketing Executive (CRM),D & G Development Limited,3,False,Kwai Tsing District,Marketing & Communications,,2024-07-13 04:00:00,77252274,https://hk.jobsdb.com/job/77252274
Junior Business Analyst - Insurance,**Private,,False,Kowloon City District,Information & Communication Technology,,2024-07-10 04:00:00,77157945,https://hk.jobsdb.com/job/77157945
Business Analyst,AXA Hong Kong,2,False,"Wong Chuk Hang, Southern District",Information & Communication Technology,work from home,2024-07-09 04:00:00,77124957,https://hk.jobsdb.com/job/77124957
System Analyst,ESD Services Limited (ESDlife),,False,"Hung Hom, Kowloon City District",Information & Communication Technology,,2024-07-16 04:00:00,76651524,https://hk.jobsdb.com/job/76651524
E-Commerce Officer,World-Link Logistics (Asia) Holding Limited,2,False,"Kowloon Bay, Kwun Tong District",Marketing & Communications,,2024-07-10 04:00:00,77143993,https://hk.jobsdb.com/job/77143993
Senior Environmental Consultant - EM&A,Fugro Technical Services Limited,7,False,"Kwai Hing, Kwai Tsing District",Science & Technology,,2024-07-12 04:00:00,77212059,https://hk.jobsdb.com/job/77212059
Procurement - Senior Officer,VidaXL International (HK) Limited,,False,"Kowloon Bay, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-07-13 04:00:00,77247926,https://hk.jobsdb.com/job/77247926
Tax - Customer Tax Operations & Reporting Services - Staff / Senior - HK,EY,,False,"Quarry Bay, Eastern District",Accounting,,2024-06-28 04:00:00,76871824,https://hk.jobsdb.com/job/76871824
"Manager, Data Service and Delivery",Bank of China (Hong Kong) Limited,5,False,Hong Kong,Information & Communication Technology,,2024-07-05 04:00:00,77045148,https://hk.jobsdb.com/job/77045148
Senior Analyst Programmer,Konew Fintech Corporation Limited,4,False,Central and Western District,Information & Communication Technology,,2024-07-05 04:00:00,77032600,https://hk.jobsdb.com/job/77032600
Financial Analyst,Real See International Intelligent Technology Company Limited,,False,Central and Western District,Accounting,,2024-07-13 04:00:00,77247344,https://hk.jobsdb.com/job/77247344
"AVP, Specialist, Data/Business Analyst, Consumer Banking",DBS Bank (Hong Kong) Limited,,False,"San Tin, Yuen Long District",Banking & Financial Services,,2024-07-04 04:00:00,77042160,https://hk.jobsdb.com/job/77042160
EOI - Regional Space Data Analyst,CBRE Advisory Hong Kong Limited,3,False,Central and Western District,Real Estate & Property,,2024-06-22 04:00:00,76736594,https://hk.jobsdb.com/job/76736594
Application Consultant Trainee,K-Solve Global Limited,,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-17 15:00:00,77343838,https://hk.jobsdb.com/job/77343838
Business Solution Assistant,DKSH Hong Kong Limited,,False,Southern District,Information & Communication Technology,,2024-06-28 04:00:00,76885618,https://hk.jobsdb.com/job/76885618
System Analyst (TCMA),Purapharm International (H.K.) Limited,5,False,"Science Park, Tai Po District",Information & Communication Technology,,2024-06-29 04:00:00,76896398,https://hk.jobsdb.com/job/76896398
QA Engineer,ASMPT Technology Hong Kong Limited,,False,"Tsing Yi, Kwai Tsing District","Manufacturing, Transport & Logistics",,2024-07-03 04:00:00,76975392,https://hk.jobsdb.com/job/76975392
Senior Market Analyst,PCCW Global Limited,,False,Hong Kong,Banking & Financial Services,,2024-06-27 04:00:00,76841668,https://hk.jobsdb.com/job/76841668
Trading Analyst | Blockchain | IT Tech,PeopleLink Services Limited,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-13 04:00:00,77250790,https://hk.jobsdb.com/job/77250790
"Engineer, Backend",Standard Chartered Bank,,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-03 04:00:00,76978415,https://hk.jobsdb.com/job/76978415
