Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Assistant Partnership Campaign Manager,Delivery Hero Food Hong Kong Limited,4,False,"Causeway Bay, Wan Chai District",Marketing & Communications,,2024-07-09 09:00:00,74607801,https://hk.jobsdb.com/job/74607801
Business Analyst - Leading MNC - Large Scale CRM Transformation Project,TEKsystems,5,False,Kowloon,Information & Communication Technology,,2024-07-03 09:00:00,76987494,https://hk.jobsdb.com/job/76987494
SPORT BIOMECHANICS OFFICER,Hong Kong Sports Institute Ltd,,False,Sha Tin District,Science & Technology,,2024-07-13 09:00:00,77248476,https://hk.jobsdb.com/job/77248476
Postdoctoral Fellow / Research Associate (Electronic Assemblies),CENTRE FOR ADVANCES IN RELIABILITY AND SAFETY LIMITED,,False,Sha Tin District,Science & Technology,,2024-07-10 09:00:00,77149016,https://hk.jobsdb.com/job/77149016
Senior Treasury Associate ( Crypto ),Crypto.com,,False,"Admiralty, Central and Western District",Accounting,,2024-07-11 09:00:00,77172725,https://hk.jobsdb.com/job/77172725
System Analyst / Programmer (C/C++/Linux),GDC Technology Limited,2,False,"North Point, Eastern District",Information & Communication Technology,,2024-07-16 09:00:00,77292925,https://hk.jobsdb.com/job/77292925
Data Centre Operator,Venturenix Limited,,True,Eastern District,Information & Communication Technology,"$20,000 - $30,000 per month",2024-07-10 09:00:00,77137604,https://hk.jobsdb.com/job/77137604
"Team Lead, IT Solutions",Hong Kong Air Cargo Terminals Ltd,8,True,"Airport Area, Islands District",Information & Communication Technology,,2024-07-14 09:00:00,75734161,https://hk.jobsdb.com/job/75734161
Data Entry Executive,VCC Land Limited,4,False,"Wan Chai, Wan Chai District",Administration & Office Support,,2024-07-12 09:00:00,77220541,https://hk.jobsdb.com/job/77220541
"@cosme - Business Development Executive (Media, Retail Industry)","istyle Retail (Hong Kong) Co., Limited",1,True,"Tsim Sha Tsui, Yau Tsim Mong District",Sales,,2024-07-06 09:00:00,77078593,https://hk.jobsdb.com/job/77078593
Personal Trainer,Anytime Fitness Hong Kong,2,False,Hong Kong,Sport & Recreation,,2024-07-12 09:00:00,77199876,https://hk.jobsdb.com/job/77199876
Executive Assistant II (Oncology),Hospital Authority,,False,"Kowloon City, Kowloon City District",Administration & Office Support,,2024-07-17 09:00:00,77346249,https://hk.jobsdb.com/job/77346249
Assistant Brand Manager (China Focus),Linberg's Limited,3,False,Hong Kong,Marketing & Communications,,2024-07-16 09:00:00,77283570,https://hk.jobsdb.com/job/77283570
Demand Planning Executive - Fashion & Apparel,ConnectedGroup Limited,2,False,Central and Western District,Retail & Consumer Products,,2024-07-13 09:00:00,77237273,https://hk.jobsdb.com/job/77237273
SEO/SEM Director (80K)(Agency),Manpower Services (Hong Kong) Limited,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Marketing & Communications,,2024-07-09 09:00:00,77119456,https://hk.jobsdb.com/job/77119456
"Manager, Finance (Project Capital Governance)",The Hong Kong Jockey Club,5,False,"Happy Valley, Wan Chai District",Accounting,,2024-07-16 09:00:00,77288367,https://hk.jobsdb.com/job/77288367
Operation Analyst,FundPark Limited,1,False,Kwun Tong District,Banking & Financial Services,,2024-07-03 09:00:00,76988384,https://hk.jobsdb.com/job/76988384
Project Officer (Digital Transformation),HKT,3,False,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-13 09:00:00,77252880,https://hk.jobsdb.com/job/77252880
